sample_id,collection_date,lineage
SRR26682641,2023-09-19,FL.1.5.1
SRR26682642,2023-09-18,HV.1
SRR26682643,2023-09-15,XBB.1.16.6
SRR26682644,2023-09-15,XBB.1.16.6
SRR26682649,2023-09-08,XBB.1.16.6
SRR26682650,2023-09-08,GK.4
SRR26682651,2023-09-09,XBB.1.22
SRR26682652,2023-09-08,EG.6.1
SRR26682653,2023-09-08,EG.5.1.1
SRR26682654,2023-09-08,FL.1.5.1
SRR26682655,2023-09-10,GJ.1.2
SRR26682656,2023-09-11,XBB.1.16.23
SRR26682657,2023-09-11,XBB.1.42.2
SRR26682658,2023-09-10,XBB.1.5.24
SRR26682659,2023-09-11,EG.5.1.6
SRR26682661,2023-09-08,EG.5.1.4
SRR26682662,2023-09-11,FE.1.2
SRR26682663,2023-09-08,FU.2
SRR26682664,2023-09-08,FL.2.5
SRR26682665,2023-09-09,HK.31
SRR26682666,2023-09-09,EG.5.1.1
SRR26682667,2023-09-11,XBB.1.16.23
SRR26682668,2023-09-11,EG.5.1.13
SRR26682669,2023-09-12,HR.1
SRR26682670,2023-09-11,XBB.1.16.6
SRR26682671,2023-09-11,EG.5.1.1
SRR26682672,2023-09-11,XBB.1.16
SRR27018397,2023-09-22,EG.5.1.1
SRR27018398,2023-09-19,XBB.1.16.6
SRR27018399,2023-09-23,EG.5.1.16
SRR27018400,2023-09-19,XBB.1.16.6
SRR27018401,2023-09-18,XBB.1.5.10
SRR27018402,2023-09-19,XBB.1.5.105
SRR27018403,2023-09-10,GJ.1.2
SRR27018404,2023-09-12,EG.5.1.1
SRR27018405,2023-09-15,HV.1
SRR27018406,2023-09-15,FL.1.5.1
SRR27018407,2023-09-12,FL.13.4.1
SRR27018408,2023-09-28,FL.1.5.1
SRR27018409,2023-09-27,XBB.2.3.8
SRR27018410,2023-09-28,EG.5.1.13
SRR27018411,2023-09-30,XBB.1.16.15
SRR27018412,2023-09-29,XCM
SRR27018413,2023-09-28,EG.5.1.1
SRR27018414,2023-09-28,FL.1.5.1
SRR27018415,2023-09-21,HV.1
SRR27018416,2023-09-21,XBB.1.16
SRR27018417,2023-09-19,HZ.1
SRR27018418,2023-09-18,XBB.1.16.6
SRR27018419,2023-09-20,EG.5.1.13
SRR27018420,2023-09-19,FL.1.5.1
SRR27018421,2023-09-20,FL.1.5.1
SRR27018422,2023-09-21,EG.5.1.4
SRR27018423,2023-09-18,HV.1
SRR27018424,2023-09-18,XBB.1.16.6
SRR27018425,2023-09-19,XBB.1.16.12
SRR27018426,2023-09-19,XBB.1.16.12
SRR27018427,2023-09-19,HZ.1
SRR27018428,2023-09-20,HZ.1
SRR27018429,2023-09-19,HF.1
SRR27018430,2023-09-20,HY.1
SRR27018431,2023-09-20,XBB.1.16.14
SRR27018432,2023-09-20,EG.5.1.16
SRR27018433,2023-09-20,EG.6.1
SRR27018434,2023-09-20,XBB.1.16.6
SRR27018435,2023-09-20,XBB.1.16.23
SRR27018436,2023-09-20,FL.20
SRR27018437,2023-09-20,EG.5.1.13
SRR27018438,2023-09-19,XBB.1.16.6
SRR27018440,2023-10-19,JN.1.39
SRR27018470,2023-09-06,EG.5.1.16
SRR27018472,2023-09-03,EG.5.1.16
SRR27018474,2023-09-06,EG.5.1.6
SRR27018476,2023-09-06,FL.20
SRR27018479,2023-09-04,FL.1.5.1
SRR27018480,2023-09-05,EG.5.1.4
SRR27018482,2023-09-05,EG.5.1.1
SRR27018487,2023-09-05,FL.2.5
SRR27018488,2023-09-07,FL.2.5
SRR27018489,2023-09-01,GV.1
SRR27018490,2023-09-08,XBB.1.5.70
SRR27018491,2023-09-08,XBB.1.5.70
SRR27018492,2023-09-06,FL.2.5
SRR27018493,2023-09-11,FL.2.5
SRR27018494,2023-09-08,HF.1
SRR27018496,2023-09-29,EG.5.1.16
SRR27018497,2023-10-01,HZ.1
SRR27018498,2023-10-01,HP.1.1
SRR27018499,2023-10-01,HN.1
SRR27018500,2023-10-01,EG.5.1.4
SRR27018501,2023-09-29,XBB.2.3.17
SRR27018502,2023-09-29,GJ.1.2
SRR27018503,2023-10-02,XBB.1.5.72
SRR27018504,2023-10-02,HK.31
SRR27018505,2023-10-02,XCV
SRR27018506,2023-10-02,EG.5.1.16
SRR27018507,2023-10-02,XBB.1.16
SRR27018508,2023-10-02,JF.1
SRR27018509,2023-10-02,HK.31
SRR27018510,2023-10-03,EG.5.1.1
SRR27018511,2023-10-03,HN.6
SRR27018512,2023-10-03,FL.1.5.1
SRR27018513,2023-10-03,HV.1
SRR27018514,2023-09-23,XBB.1.16.6
SRR27018515,2023-09-23,HV.1
SRR27018516,2023-09-23,EG.5.1.6
SRR27018517,2023-09-24,HF.1.1
SRR27018518,2023-09-25,XBB.1.16.6
SRR27018519,2023-09-25,XBB.1.41.1
SRR27018520,2023-09-28,EG.5.2
SRR27018521,2023-09-16,XBB.1.5.10
SRR27018522,2023-09-15,FU.1
SRR27018523,2023-09-10,EG.5.1
SRR27018524,2023-09-12,XBB.1.16.21
SRR27018525,2023-09-13,XBB.1.5
SRR27018526,2023-09-12,XBB.1.16.6
SRR27018527,2023-09-19,EG.5.1.4
SRR27018528,2023-09-19,HK.29
SRR27018529,2023-09-20,EG.5.1.1
SRR27018530,2023-09-19,GJ.1.2
SRR27018531,2023-09-19,XCM
SRR27018532,2023-09-12,FU.2
SRR27018533,2023-09-12,HZ.1
SRR27018534,2023-09-20,XCM
SRR27018535,2023-09-20,XCM
SRR27018536,2023-09-20,EG.5.1.3
SRR27018537,2023-09-20,HS.1
SRR27018538,2023-09-18,XBB.1.5.10
SRR27018539,2023-09-18,HK.3
SRR27018540,2023-09-21,EG.6.1
SRR27018541,2023-09-19,HV.1
SRR27018542,2023-09-19,HV.1
SRR27018543,2023-09-19,FL.1.5.1
SRR27018544,2023-09-19,EG.5.1.4
SRR27018545,2023-09-19,XBB.1.5.1
SRR27018546,2023-09-12,HV.1
SRR27018547,2023-09-21,HZ.1
SRR27018548,2023-09-20,EG.5.1.13
SRR27018549,2023-09-21,EG.5.1
SRR27018550,2023-09-21,EG.6.1
SRR27018551,2023-09-21,FD.4
SRR27018608,2023-09-11,FL.1.5.1
SRR27018609,2023-09-08,GD.1
SRR27018610,2023-09-09,XBB.1.16
SRR27018611,2023-09-09,HY.1
SRR27018612,2023-09-16,EG.5.1.4
SRR27018613,2023-09-17,XBB.1.16.6
SRR27018614,2023-09-17,FT.3.1.1
SRR27018615,2023-09-10,EG.5.1.6
SRR27018616,2023-09-06,GY.6
SRR27018617,2023-09-05,XBB.1
SRR27018618,2023-09-22,HV.1
SRR27018620,2023-09-25,HV.1
SRR27018621,2023-09-27,EG.5.1
SRR27018622,2023-09-25,XCM
SRR27018623,2023-09-25,XBB.1.16.6
SRR27018624,2023-09-25,HZ.1
SRR27018625,2023-09-22,HK.31
